Date,Time,time_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9/12/2017,9:32:22,42990.40,0.054,0.058,0.056,0.054,0.066,0.055,0.073,0.04,0.084,0.061,0.042,0.062,0.064,0.057,0.069
9/12/2017,9:52:22,42990.41,0.054,0.058,0.056,0.053,0.066,0.054,0.073,0.04,0.084,0.062,0.042,0.062,0.064,0.057,0.069
9/12/2017,10:12:22,42990.43,0.054,0.057,0.056,0.053,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,10:32:22,42990.44,0.054,0.057,0.056,0.052,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,10:52:22,42990.45,0.054,0.057,0.057,0.051,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,11:12:22,42990.47,0.054,0.057,0.057,0.051,0.066,0.055,0.073,0.04,0.084,0.062,0.042,0.062,0.063,0.057,0.07
9/12/2017,11:32:22,42990.48,0.054,0.057,0.057,0.049,0.066,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.063,0.057,0.07
9/12/2017,11:52:22,42990.49,0.054,0.057,0.057,0.048,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.057,0.07
9/12/2017,12:12:22,42990.51,0.054,0.057,0.057,0.047,0.066,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.057,0.07
9/12/2017,12:32:22,42990.52,0.054,0.057,0.057,0.046,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.058,0.07
9/12/2017,12:52:22,42990.54,0.054,0.057,0.057,0.046,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.061,0.057,0.07
9/12/2017,13:12:22,42990.55,0.054,0.057,0.058,0.046,0.067,0.054,0.073,0.041,0.084,0.063,0.042,0.062,0.061,0.057,0.07
9/12/2017,13:32:22,42990.56,0.054,0.057,0.058,0.048,0.067,0.054,0.073,0.041,0.084,0.063,0.043,0.062,0.061,0.058,0.07
9/12/2017,13:52:22,42990.58,0.054,0.057,0.058,0.047,0.067,0.054,0.073,0.041,0.084,0.063,0.043,0.062,0.061,0.057,0.071
9/12/2017,14:12:22,42990.59,0.054,0.057,0.058,0.047,0.067,0.054,0.073,0.041,0.085,0.063,0.043,0.062,0.061,0.058,0.071
9/12/2017,14:32:22,42990.61,0.054,0.057,0.059,0.047,0.067,0.054,0.073,0.041,0.085,0.063,0.043,0.062,0.06,0.058,0.071
9/12/2017,14:52:22,42990.62,0.054,0.057,0.059,0.046,0.067,0.054,0.073,0.041,0.085,0.063,0.043,0.063,0.06,0.058,0.071
9/12/2017,15:12:22,42990.63,0.055,0.057,0.059,0.046,0.067,0.054,0.072,0.041,0.085,0.063,0.043,0.063,0.06,0.058,0.071
9/12/2017,15:32:22,42990.65,0.055,0.057,0.059,0.046,0.067,0.054,0.073,0.041,0.085,0.062,0.043,0.063,0.06,0.058,0.071
9/12/2017,15:52:22,42990.66,0.055,0.057,0.059,0.046,0.067,0.054,0.072,0.041,0.085,0.06,0.043,0.063,0.06,0.058,0.071
9/12/2017,16:12:22,42990.68,0.055,0.056,0.059,0.046,0.067,0.054,0.072,0.041,0.085,0.06,0.043,0.063,0.06,0.058,0.071
9/12/2017,16:32:22,42990.69,0.055,0.056,0.059,0.046,0.067,0.054,0.072,0.041,0.086,0.059,0.043,0.063,0.06,0.058,0.071
9/12/2017,16:52:22,42990.70,0.055,0.056,0.059,0.046,0.067,0.054,0.072,0.041,0.087,0.059,0.043,0.063,0.06,0.058,0.071
9/12/2017,17:12:22,42990.72,0.055,0.056,0.059,0.046,0.067,0.054,0.073,0.041,0.086,0.058,0.044,0.063,0.06,0.057,0.072
9/12/2017,17:32:22,42990.73,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.041,0.086,0.058,0.044,0.063,0.06,0.057,0.072
9/12/2017,17:52:22,42990.74,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.041,0.086,0.058,0.044,0.063,0.06,0.057,0.072
9/12/2017,18:12:22,42990.76,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.041,0.085,0.057,0.044,0.063,0.06,0.057,0.072
9/12/2017,18:32:22,42990.77,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.041,0.086,0.057,0.045,0.063,0.06,0.057,0.073
9/12/2017,18:52:22,42990.79,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.04,0.086,0.057,0.045,0.063,0.06,0.057,0.073
9/12/2017,19:12:22,42990.80,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.04,0.086,0.057,0.045,0.063,0.059,0.057,0.073
9/12/2017,19:32:22,42990.81,0.055,0.056,0.06,0.046,0.067,0.053,0.072,0.04,0.086,0.057,0.045,0.063,0.059,0.057,0.073
9/12/2017,19:52:22,42990.83,0.056,0.056,0.06,0.046,0.067,0.053,0.071,0.04,0.086,0.057,0.045,0.063,0.059,0.057,0.073
9/12/2017,20:12:22,42990.84,0.056,0.056,0.06,0.046,0.067,0.053,0.071,0.04,0.086,0.057,0.045,0.063,0.059,0.057,0.073
9/12/2017,20:32:22,42990.86,0.056,0.056,0.06,0.046,0.067,0.053,0.071,0.04,0.086,0.057,0.045,0.063,0.059,0.057,0.073
9/12/2017,20:52:22,42990.87,0.056,0.056,0.06,0.046,0.068,0.053,0.071,0.04,0.086,0.057,0.045,0.063,0.06,0.057,0.073
9/12/2017,21:12:22,42990.88,0.056,0.056,0.06,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.045,0.064,0.06,0.057,0.074
9/12/2017,21:32:22,42990.90,0.056,0.056,0.061,0.047,0.068,0.053,0.071,0.04,0.087,0.057,0.045,0.064,0.059,0.057,0.074
9/12/2017,21:52:22,42990.91,0.056,0.056,0.061,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.045,0.064,0.059,0.056,0.074
