Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/1/2017,8:32:22,0.002,0.006,0.012,0.042,0.013,0.01,0.014,0.031,0.01,0.005,0.01,0.012,0.013,0.008,0.013,0
8/1/2017,8:52:22,0.002,0.006,0.012,0.043,0.013,0.011,0.014,0.031,0.01,0.006,0.01,0.013,0.013,0.008,0.013,0
8/1/2017,9:12:22,0.002,0.007,0.013,0.043,0.012,0.011,0.014,0.032,0.011,0.006,0.01,0.013,0.013,0.007,0.013,0
8/1/2017,9:32:22,0.002,0.007,0.013,0.044,0.012,0.011,0.014,0.032,0.012,0.006,0.01,0.013,0.013,0.007,0.013,0
8/1/2017,9:52:22,0.002,0.007,0.013,0.044,0.012,0.011,0.014,0.032,0.013,0.006,0.011,0.013,0.013,0.007,0.013,0
8/1/2017,10:12:22,0.002,0.007,0.014,0.044,0.012,0.011,0.014,0.032,0.015,0.006,0.011,0.013,0.013,0.007,0.013,0
8/1/2017,10:32:22,0.002,0.007,0.014,0.073,0.012,0.011,0.013,0.034,0.027,0.011,0.013,0.018,0.013,0.007,0.013,0
8/1/2017,10:52:22,0.002,0.007,0.015,0.08,0.042,0.011,0.042,0.035,0.018,0.007,0.012,0.015,0.012,0.012,0.026,0
8/1/2017,11:12:22,0.002,0.007,0.016,0.081,0.037,0.011,0.038,0.036,0.018,0.007,0.012,0.014,0.011,0.01,0.023,0
8/1/2017,11:32:22,0.002,0.007,0.018,0.081,0.035,0.011,0.037,0.036,0.018,0.007,0.012,0.015,0.011,0.01,0.022,0
8/1/2017,11:52:22,0.002,0.007,0.019,0.081,0.034,0.012,0.036,0.037,0.018,0.008,0.012,0.015,0.011,0.009,0.021,0
8/1/2017,12:12:22,0.002,0.007,0.02,0.081,0.034,0.012,0.035,0.037,0.018,0.008,0.013,0.015,0.011,0.009,0.021,0
8/1/2017,12:32:22,0.002,0.007,0.021,0.08,0.033,0.012,0.035,0.037,0.018,0.009,0.013,0.015,0.011,0.009,0.021,0
8/1/2017,12:52:22,0.002,0.007,0.022,0.079,0.034,0.012,0.034,0.037,0.018,0.009,0.013,0.016,0.011,0.009,0.02,0
8/1/2017,13:12:22,0.002,0.007,0.023,0.079,0.032,0.012,0.034,0.037,0.017,0.009,0.013,0.016,0.011,0.009,0.02,0
8/1/2017,13:32:22,0.002,0.007,0.023,0.078,0.032,0.012,0.034,0.037,0.017,0.009,0.013,0.016,0.011,0.009,0.02,0
8/1/2017,13:52:22,0.002,0.007,0.024,0.078,0.031,0.012,0.034,0.037,0.017,0.009,0.013,0.016,0.011,0.008,0.02,0
8/1/2017,14:12:22,0.002,0.007,0.025,0.078,0.031,0.012,0.034,0.037,0.017,0.009,0.013,0.016,0.01,0.008,0.02,0
8/1/2017,14:32:22,0.002,0.007,0.026,0.079,0.031,0.012,0.033,0.037,0.017,0.009,0.013,0.016,0.01,0.008,0.02,0
8/1/2017,14:52:22,0.002,0.007,0.027,0.079,0.031,0.012,0.033,0.037,0.017,0.009,0.013,0.017,0.01,0.008,0.02,0
8/1/2017,15:12:22,0.002,0.007,0.027,0.079,0.03,0.013,0.033,0.037,0.017,0.01,0.013,0.017,0.01,0.008,0.019,0
8/1/2017,15:32:22,0.002,0.007,0.028,0.079,0.03,0.013,0.032,0.038,0.017,0.01,0.013,0.018,0.01,0.008,0.019,0
8/1/2017,15:52:22,0.002,0.007,0.029,0.079,0.03,0.013,0.032,0.038,0.018,0.01,0.013,0.018,0.01,0.008,0.019,0
8/1/2017,16:12:22,0.002,0.007,0.03,0.079,0.029,0.013,0.032,0.038,0.018,0.01,0.013,0.018,0.01,0.007,0.019,0
8/1/2017,16:32:22,0.002,0.007,0.031,0.079,0.03,0.013,0.032,0.038,0.018,0.01,0.013,0.018,0.01,0.007,0.019,0
8/1/2017,16:52:22,0.002,0.007,0.031,0.079,0.029,0.013,0.032,0.038,0.018,0.01,0.013,0.018,0.01,0.007,0.018,0
8/1/2017,17:12:22,0.002,0.007,0.032,0.079,0.029,0.014,0.032,0.038,0.019,0.01,0.013,0.018,0.011,0.007,0.018,0
8/1/2017,17:32:22,0.002,0.007,0.032,0.079,0.029,0.014,0.032,0.038,0.019,0.01,0.013,0.018,0.011,0.007,0.018,0
8/1/2017,17:52:22,0.002,0.007,0.033,0.079,0.029,0.014,0.032,0.038,0.019,0.01,0.013,0.019,0.012,0.007,0.018,0
8/1/2017,18:12:22,0.002,0.007,0.034,0.079,0.029,0.015,0.032,0.038,0.02,0.011,0.013,0.019,0.012,0.007,0.018,0
8/1/2017,18:32:22,0.002,0.007,0.034,0.079,0.029,0.015,0.032,0.039,0.02,0.011,0.013,0.019,0.012,0.007,0.018,0
8/1/2017,18:52:22,0.002,0.007,0.035,0.079,0.029,0.015,0.033,0.04,0.02,0.012,0.013,0.02,0.012,0.007,0.018,0
8/1/2017,19:12:22,0.002,0.007,0.035,0.079,0.028,0.015,0.033,0.04,0.02,0.012,0.013,0.02,0.013,0.007,0.018,0
8/1/2017,19:32:22,0.002,0.007,0.035,0.079,0.028,0.015,0.032,0.04,0.02,0.012,0.013,0.02,0.013,0.007,0.018,0
8/1/2017,19:52:22,0.001,0.008,0.036,0.079,0.028,0.016,0.033,0.041,0.021,0.012,0.013,0.02,0.013,0.007,0.017,0
8/1/2017,20:12:22,0.001,0.008,0.037,0.08,0.028,0.016,0.033,0.041,0.021,0.012,0.013,0.02,0.013,0.007,0.017,0
8/1/2017,20:32:22,0.001,0.008,0.037,0.08,0.027,0.016,0.033,0.042,0.021,0.012,0.013,0.02,0.013,0.007,0.017,0
8/1/2017,20:52:22,0.001,0.008,0.037,0.08,0.027,0.016,0.033,0.042,0.021,0.012,0.013,0.02,0.013,0.007,0.017,0
8/1/2017,21:12:22,0.001,0.008,0.037,0.08,0.027,0.016,0.033,0.042,0.021,0.012,0.013,0.02,0.013,0.006,0.016,0
8/1/2017,21:32:22,0.001,0.008,0.037,0.081,0.027,0.017,0.033,0.042,0.021,0.012,0.013,0.02,0.014,0.006,0.016,0
8/1/2017,21:52:22,0.001,0.008,0.037,0.081,0.027,0.017,0.033,0.042,0.021,0.012,0.013,0.021,0.014,0.006,0.016,0
8/1/2017,22:12:22,0.001,0.009,0.038,0.081,0.027,0.017,0.033,0.043,0.021,0.012,0.013,0.021,0.014,0.006,0.016,0
8/1/2017,22:32:22,0.001,0.009,0.038,0.081,0.027,0.018,0.033,0.043,0.021,0.013,0.012,0.021,0.015,0.006,0.016,0
8/1/2017,22:52:22,0.001,0.009,0.038,0.081,0.027,0.018,0.033,0.043,0.022,0.013,0.013,0.021,0.015,0.006,0.016,0
8/1/2017,23:12:22,0.001,0.009,0.038,0.081,0.027,0.018,0.032,0.043,0.022,0.013,0.012,0.021,0.015,0.005,0.016,0
8/1/2017,23:32:22,0.001,0.009,0.038,0.081,0.027,0.018,0.032,0.043,0.022,0.013,0.012,0.021,0.015,0.005,0.016,0
8/1/2017,23:52:22,0.001,0.009,0.038,0.081,0.027,0.018,0.032,0.043,0.023,0.013,0.012,0.021,0.015,0.005,0.016,0
8/2/2017,0:12:22,0.001,0.009,0.038,0.081,0.026,0.019,0.032,0.044,0.023,0.013,0.012,0.021,0.014,0.005,0.016,0
8/2/2017,0:32:22,0.001,0.009,0.038,0.081,0.026,0.019,0.031,0.044,0.023,0.013,0.012,0.021,0.015,0.005,0.016,0
8/2/2017,0:52:22,0.001,0.009,0.038,0.082,0.026,0.019,0.031,0.044,0.023,0.013,0.012,0.021,0.015,0.005,0.016,0
8/2/2017,1:12:22,0.001,0.009,0.038,0.082,0.026,0.02,0.031,0.045,0.023,0.013,0.012,0.021,0.015,0.005,0.016,0
8/2/2017,1:32:22,0.001,0.009,0.038,0.082,0.026,0.02,0.031,0.045,0.023,0.013,0.012,0.021,0.015,0.005,0.015,0
8/2/2017,1:52:22,0.001,0.009,0.038,0.082,0.027,0.02,0.03,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
8/2/2017,2:12:22,0.001,0.009,0.038,0.082,0.026,0.02,0.03,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
8/2/2017,2:32:22,0.001,0.009,0.038,0.082,0.026,0.02,0.03,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
8/2/2017,2:52:22,0.001,0.009,0.038,0.082,0.026,0.02,0.03,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
