dateTime,cycle,mfc,power_J_s
2017-08-29T08:52:22Z,3,13,9.025e-6
2017-08-29T09:12:22Z,3,13,9.216e-6
2017-08-29T09:32:22Z,3,13,9.216e-6
2017-08-29T09:52:22Z,3,13,9.409000000000001e-6
2017-08-29T10:12:22Z,3,13,9.409000000000001e-6
2017-08-29T10:32:22Z,3,13,9.409000000000001e-6
2017-08-29T10:52:22Z,3,13,9.409000000000001e-6
2017-08-29T11:12:22Z,3,13,3.136e-6
2017-08-29T11:32:22Z,3,13,1.3689999999999997e-6
2017-08-29T11:52:22Z,3,13,1.8489999999999998e-6
2017-08-29T12:12:22Z,3,13,2.4010000000000004e-6
2017-08-29T12:32:22Z,3,13,3.136e-6
2017-08-29T12:52:22Z,3,13,3.9690000000000005e-6
2017-08-29T13:12:22Z,3,13,4.9000000000000005e-6
2017-08-29T13:32:22Z,3,13,5.6249999999999995e-6
2017-08-29T13:52:22Z,3,13,6.4000000000000006e-6
2017-08-29T14:12:22Z,3,13,7.056000000000001e-6
2017-08-29T14:32:22Z,3,13,7.568999999999999e-6
2017-08-29T14:52:22Z,3,13,7.921e-6
2017-08-29T15:12:22Z,3,13,8.281e-6
2017-08-29T15:32:22Z,3,13,8.649e-6
2017-08-29T15:52:22Z,3,13,8.836e-6
2017-08-29T16:12:22Z,3,13,9.025e-6
2017-08-29T16:32:22Z,3,13,9.025e-6
2017-08-29T16:52:22Z,3,13,9.025e-6
2017-08-29T17:12:22Z,3,13,9.025e-6
2017-08-29T17:32:22Z,3,13,9.025e-6
2017-08-29T17:52:22Z,3,13,8.836e-6
2017-08-29T18:12:22Z,4,13,8.649e-6
2017-08-29T18:32:22Z,4,13,8.463999999999999e-6
2017-08-29T18:52:22Z,4,13,8.463999999999999e-6
2017-08-29T19:12:22Z,4,13,8.281e-6
2017-08-29T19:32:22Z,4,13,8.1e-6
2017-08-29T19:52:22Z,4,13,8.1e-6
2017-08-29T20:12:22Z,4,13,8.1e-6
2017-08-29T20:32:22Z,4,13,7.921e-6
2017-08-29T20:52:22Z,4,13,7.921e-6
2017-08-29T21:12:22Z,4,13,7.921e-6
2017-08-29T21:32:22Z,4,13,7.743999999999999e-6
2017-08-29T21:52:22Z,4,13,7.743999999999999e-6
2017-08-29T22:12:22Z,4,13,7.743999999999999e-6
2017-08-29T22:32:22Z,4,13,7.568999999999999e-6
2017-08-29T22:52:22Z,4,13,7.568999999999999e-6
2017-08-29T23:12:22Z,4,13,7.568999999999999e-6
2017-08-29T23:32:22Z,4,13,7.568999999999999e-6
2017-08-29T23:52:22Z,4,13,7.568999999999999e-6
2017-08-30T00:12:22Z,4,13,7.568999999999999e-6
2017-08-30T00:32:22Z,4,13,7.568999999999999e-6
2017-08-30T00:52:22Z,4,13,7.568999999999999e-6
2017-08-30T01:12:22Z,4,13,7.568999999999999e-6
2017-08-30T01:32:22Z,4,13,7.568999999999999e-6
2017-08-30T01:52:22Z,4,13,7.743999999999999e-6
2017-08-30T02:12:22Z,4,13,7.743999999999999e-6
2017-08-30T02:32:22Z,4,13,7.743999999999999e-6
2017-08-30T02:52:22Z,4,13,7.921e-6
2017-08-30T03:12:22Z,4,13,7.921e-6
2017-08-30T03:32:22Z,4,13,7.921e-6
2017-08-30T03:52:22Z,4,13,7.921e-6
2017-08-30T04:12:22Z,4,13,7.921e-6
2017-08-30T04:32:22Z,4,13,8.1e-6
2017-08-30T04:52:22Z,4,13,8.1e-6
2017-08-30T05:12:22Z,4,13,8.1e-6
2017-08-30T05:32:22Z,4,13,8.281e-6
2017-08-30T05:52:22Z,4,13,8.281e-6
2017-08-30T06:12:22Z,4,13,8.281e-6
2017-08-30T06:32:22Z,4,13,8.463999999999999e-6
2017-08-30T06:52:22Z,4,13,8.463999999999999e-6
2017-08-30T07:12:22Z,4,13,8.463999999999999e-6
2017-08-30T07:32:22Z,4,13,8.463999999999999e-6
2017-08-30T07:52:22Z,4,13,8.649e-6
2017-08-30T08:12:22Z,4,13,8.649e-6
2017-08-30T08:32:22Z,4,13,8.649e-6
2017-08-30T08:52:22Z,4,13,8.836e-6
2017-08-30T09:12:22Z,4,13,8.836e-6
2017-08-30T09:32:22Z,4,13,9.025e-6
2017-08-30T09:52:22Z,4,13,9.025e-6
2017-08-30T10:12:22Z,4,13,9.025e-6
2017-08-30T10:32:22Z,4,13,9.025e-6
2017-08-30T10:52:22Z,4,13,9.216e-6
2017-08-30T11:12:22Z,4,13,9.216e-6
2017-08-30T11:32:22Z,4,13,9.216e-6
2017-08-30T11:52:22Z,4,13,9.216e-6
2017-08-30T12:12:22Z,4,13,9.216e-6
2017-08-30T12:32:22Z,4,13,9.216e-6
2017-08-30T12:52:22Z,4,13,9.216e-6
2017-08-30T13:12:22Z,4,13,9.216e-6
2017-08-30T13:32:22Z,4,13,9.216e-6
2017-08-30T13:52:22Z,4,13,9.216e-6
2017-08-30T14:12:22Z,4,13,9.216e-6
2017-08-30T14:32:22Z,4,13,9.216e-6
2017-08-30T14:52:22Z,4,13,9.216e-6
2017-08-30T15:12:22Z,4,13,9.216e-6
2017-08-30T15:32:22Z,4,13,9.216e-6
2017-08-30T15:52:22Z,4,13,9.216e-6
2017-08-30T16:12:22Z,4,13,9.409000000000001e-6
2017-08-30T16:32:22Z,4,13,9.409000000000001e-6
2017-08-30T16:52:22Z,4,13,9.409000000000001e-6
2017-08-30T17:12:22Z,4,13,9.604000000000002e-6
2017-08-30T17:32:22Z,4,13,9.604000000000002e-6
2017-08-30T17:52:22Z,4,13,9.604000000000002e-6
2017-08-30T18:12:22Z,4,13,9.604000000000002e-6
2017-08-30T18:32:22Z,4,13,9.604000000000002e-6
2017-08-30T18:52:22Z,4,13,9.604000000000002e-6
2017-08-30T19:12:22Z,4,13,9.604000000000002e-6
2017-08-30T19:32:22Z,4,13,9.801e-6
2017-08-30T19:52:22Z,4,13,9.801e-6
2017-08-30T20:12:22Z,4,13,9.801e-6
2017-08-30T20:32:22Z,4,13,9.801e-6
2017-08-30T20:52:22Z,4,13,9.801e-6
2017-08-30T21:12:22Z,4,13,1.0000000000000003e-5
2017-08-30T21:32:22Z,4,13,1.0000000000000003e-5
2017-08-30T21:52:22Z,4,13,1.0000000000000003e-5
2017-08-30T22:12:22Z,4,13,1.0000000000000003e-5
2017-08-30T22:32:22Z,4,13,1.0000000000000003e-5
2017-08-30T22:52:22Z,4,13,1.0000000000000003e-5
2017-08-30T23:12:22Z,4,13,1.0000000000000003e-5
2017-08-30T23:32:22Z,4,13,1.0000000000000003e-5
2017-08-30T23:52:22Z,4,13,1.0000000000000003e-5
2017-08-31T00:12:22Z,4,13,1.0000000000000003e-5
2017-08-31T00:32:22Z,4,13,1.0000000000000003e-5
2017-08-31T00:52:22Z,4,13,1.0000000000000003e-5
2017-08-31T01:12:22Z,4,13,1.0000000000000003e-5
2017-08-31T01:32:22Z,4,13,1.0000000000000003e-5
2017-08-31T01:52:22Z,4,13,1.0201000000000001e-5
2017-08-31T02:12:22Z,4,13,1.0201000000000001e-5
2017-08-31T02:32:22Z,4,13,1.0201000000000001e-5
2017-08-31T02:52:22Z,4,13,1.0201000000000001e-5
2017-08-31T03:12:22Z,4,13,1.0201000000000001e-5
2017-08-31T03:32:22Z,4,13,1.0201000000000001e-5
2017-08-31T03:52:22Z,4,13,1.0201000000000001e-5
2017-08-31T04:12:22Z,4,13,1.0201000000000001e-5
2017-08-31T04:32:22Z,4,13,1.0201000000000001e-5
2017-08-31T04:52:22Z,4,13,1.0201000000000001e-5
2017-08-31T05:12:22Z,4,13,1.0201000000000001e-5
2017-08-31T05:32:22Z,4,13,1.0201000000000001e-5
2017-08-31T05:52:22Z,4,13,1.0403999999999999e-5
2017-08-31T06:12:22Z,4,13,1.0403999999999999e-5
2017-08-31T06:32:22Z,4,13,1.0608999999999998e-5
2017-08-31T06:52:22Z,4,13,1.0608999999999998e-5
2017-08-31T07:12:22Z,4,13,1.0608999999999998e-5
2017-08-31T07:32:22Z,4,13,1.0608999999999998e-5
2017-08-31T07:52:22Z,4,13,1.0608999999999998e-5
2017-08-31T08:12:22Z,4,13,1.0608999999999998e-5
2017-08-31T08:32:22Z,4,13,1.0608999999999998e-5
2017-08-31T08:52:22Z,4,13,1.0608999999999998e-5
2017-08-31T09:12:22Z,4,13,1.0608999999999998e-5
2017-08-31T09:32:22Z,4,13,1.0816e-5
2017-08-31T09:52:22Z,4,13,1.0816e-5
2017-08-31T10:12:22Z,4,13,1.0816e-5
2017-08-31T10:32:22Z,4,13,1.0816e-5
2017-08-31T10:52:22Z,4,13,1.0816e-5
2017-08-31T11:12:22Z,4,13,1.0816e-5
2017-08-31T11:32:22Z,4,13,1.0816e-5
2017-08-31T11:52:22Z,4,13,1.0816e-5
2017-08-31T12:12:22Z,4,13,1.1024999999999999e-5
2017-08-31T12:32:22Z,4,13,1.0816e-5
2017-08-31T12:52:22Z,4,13,1.0816e-5
2017-08-31T13:12:22Z,4,13,1.0816e-5
2017-08-31T13:32:22Z,4,13,1.0816e-5
